จังหวัด,เนื้อที่เพาะปลูก(ไร่),เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิต(ตัน),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
กระบี่,"4,908","4,825","1,874,154",388
ชุมพร,"97,210","93,089","87,609,469",941
ตรัง,"1,371","1,224","566,195",462
นครศรีธรรมราช,"61,972","57,269","49,079,124",856
นราธิวาส,"39,223","38,874","33,532,229",862
ปัตตานี,"41,009","34,131","22,816,559",668
พังงา,"10,173","9,224","5,231,520",567
พัทลุง,"4,830","4,341","3,298,910",759
ภูเก็ต,"4,893","4,853","2,945,110",606
ยะลา,"5,582","5,359","2,239,682",417
ระนอง,"4,694","4,085","2,460,200",602
สงขลา,"9,313","7,754","4,580,531",590
สตูล,"2,749","2,376","2,147,389",903
สุราษฎร์ธานี,"80,934","78,319","51,399,313",656
สุราษฎร์ธานี,"80,934","78,319","51,399,313",656
