จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.),Year
ประจวบคีรีขันธ์,"293,705,199",45%,"331,059","887,168.75",2021
ชุมพร,"87,609,469",13%,"93,089","941,136.64",2021
สุราษฎร์ธานี,"51,399,313",8%,"78,319","656,281.53",2021
นครศรีธรรมราช,"49,079,124",8%,"57,269","856,992.86",2021
สมุทรสงคราม,"41,234,172",6%,"51,809","795,888.20",2021
นราธิวาส,"33,532,229",5%,"38,874","862,587.56",2021
ปัตตานี,"22,816,559",4%,"34,131","668,499.58",2021
ชลบุรี,"18,882,029",3%,"27,674","682,302.12",2021
เพชรบุรี,"8,348,162",1%,"11,726","711,936.04",2021
ราชบุรี,"7,344,989",1%,"9,800","749,488.67",2021
ตราด,"5,252,810",1%,"9,081","578,439.60",2021
พังงา,"5,231,520",1%,"9,224","567,163.92",2021
สงขลา,"4,580,531",1%,"7,754","590,731.36",2021
พัทลุง,"3,298,910",1%,"4,341","759,942.41",2021
ภูเก็ต,"2,945,110",0%,"4,853","606,863.80",2021
ระนอง,"2,460,200",0%,"4,085","602,252.14",2021
ยะลา,"2,239,682",0%,"5,359","417,929.09",2021
สตูล,"2,147,389",0%,"2,376","903,783.25",2021
ฉะเชิงเทรา,"1,967,876",0%,"3,824","514,611.92",2021
กระบี่,"1,874,154",0%,"4,825","388,425.70",2021
ระยอง,"1,243,575",0%,"2,284","544,472.42",2021
จันทบุรี,"640,246",0%,"1,378","464,619.74",2021
สมุทรสาคร,"632,036",0%,922,"685,505.42",2021
นครปฐม,"621,626",0%,"1,130","550,111.50",2021
ตรัง,"566,195",0%,"1,224","462,577.61",2021
กาญจนบุรี,"401,135",0%,594,"675,311.45",2021
เพชรบูรณ์,"264,713",0%,755,"350,613.25",2021
อยุธยา,"243,066",0%,793,"306,514.50",2021
สระบุรี,"199,920",0%,456,"438,421.05",2021
ตาก,"150,261",0%,452,"332,435.84",2021
สุรินทร์,"124,325",0%,360,"345,347.22",2021
พิษณุโลก,"119,620",0%,294,"406,870.75",2021
กำแพงเพชร,"116,296",0%,388,"299,731.96",2021
ปทุมธานี,"102,045",0%,223,"457,600.90",2021
นครราชสีมา,"82,412",0%,227,"363,048.46",2021
นครสวรรค์,"76,567",0%,281,"272,480.43",2021
นนทบุรี,"68,626",0%,221,"310,524.89",2021
ชัยนาท,"67,440",0%,223,"302,421.52",2021
นครนายก,"57,506",0%,140,"410,757.14",2021
ศรีสะเกษ,"48,571",0%,132,"367,962.12",2021
สุพรรณบุรี,"41,820",0%,146,"286,438.36",2021
มหาสารคาม,"40,714",0%,87,"467,977.01",2021
ชัยภูมิ,"36,909",0%,105,"351,514.29",2021
ขอนแก่น,"35,714",0%,108,"330,685.19",2021
พิจิตร,"35,604",0%,129,"276,000.00",2021
อุบลราชธานี,"32,857",0%,133,"247,045.11",2021
กาฬสินธุ์,"22,857",0%,46,"496,891.30",2021
สกลนคร,"17,857",0%,52,"343,403.85",2021
ยโสธร,"17,857",0%,49,"364,428.57",2021
ร้อยเอ็ด,"12,143",0%,32,"379,468.75",2021
ปราจีนบุรี,"8,128",0%,20,"406,400.00",2021
อุดรธานี,"6,118",0%,21,"291,333.33",2021
